Production_Line,Month,Product_Type,Units_Produced,Defect_Rate,Efficiency_Percent,Downtime_Hours,Energy_Consumption_KWH,Cost_Per_Unit,Quality_Score
Line_A,January,Widget_Standard,8500,2.3,94.2,12,15600,12.45,8.7
Line_A,February,Widget_Standard,8200,2.1,95.1,8,14800,12.38,8.9
Line_A,March,Widget_Standard,8800,1.9,96.3,6,16200,12.22,9.1
Line_A,April,Widget_Standard,8600,2.0,95.8,7,15900,12.31,8.8
Line_B,January,Widget_Premium,6200,1.8,96.8,5,18400,18.67,9.3
Line_B,February,Widget_Premium,6400,1.6,97.2,4,18900,18.52,9.5
Line_B,March,Widget_Premium,6600,1.4,97.8,3,19500,18.38,9.7
Line_B,April,Widget_Premium,6500,1.5,97.5,3,19200,18.44,9.6
Line_C,January,Component_Basic,12000,3.2,92.5,18,22100,8.34,8.2
Line_C,February,Component_Basic,11800,3.0,93.1,16,21600,8.41,8.4
Line_C,March,Component_Basic,12200,2.8,93.8,14,22800,8.27,8.6
Line_C,April,Component_Basic,12100,2.9,93.4,15,22400,8.31,8.5
Line_D,January,Component_Advanced,7800,2.5,95.2,9,19800,15.23,9.0
Line_D,February,Component_Advanced,8000,2.3,95.7,8,20300,15.15,9.2
Line_D,March,Component_Advanced,8200,2.1,96.1,7,20800,15.08,9.4
Line_D,April,Component_Advanced,8100,2.2,95.9,7,20500,15.12,9.3
