Campaign_Name,Channel,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions,Cost_Per_Click,Conversion_Rate,ROI
Summer_Sale_2024,Google_Ads,2024-06-01,2024-08-31,15000,125000,3200,245,4.69,7.66,163.2
Back_to_School,Facebook,2024-08-15,2024-09-15,12000,98000,2800,198,4.29,7.07,145.8
Holiday_Special,Instagram,2024-11-01,2024-12-25,25000,185000,4500,356,5.56,7.91,189.4
Email_Newsletter,Email,2024-01-01,2024-12-31,3000,45000,1800,298,1.67,16.56,524.3
SEO_Content,Organic,2024-01-01,2024-12-31,8000,78000,2100,387,3.81,18.43,607.5
LinkedIn_B2B,LinkedIn,2024-03-01,2024-11-30,18000,67000,1950,156,9.23,8.00,86.7
YouTube_Video,YouTube,2024-05-01,2024-10-31,22000,156000,3800,289,5.79,7.61,131.4
Retargeting,Display,2024-01-15,2024-12-15,9000,89000,2400,312,3.75,13.00,346.7
Influencer_Collab,Social_Media,2024-07-01,2024-09-30,20000,145000,3600,278,5.56,7.72,139.0
Podcast_Sponsorship,Audio,2024-04-01,2024-12-31,14000,35000,980,89,14.29,9.08,63.6
Print_Magazine,Print,2024-02-01,2024-11-30,16000,25000,450,34,35.56,7.56,21.3
Radio_Ads,Radio,2024-03-15,2024-12-15,11000,42000,720,67,15.28,9.31,60.9
